Domanda_IT|Domanda_EN|Risposta_Corretta_IT|Risposta_Corretta_EN|Sbagliata_1_IT|Sbagliata_1_EN|Sbagliata_2_IT|Sbagliata_2_EN|Sbagliata_3_IT|Sbagliata_3_EN|Difficolta
In quale sport si usa il termine "touchdown"?|In which sport is the term "touchdown" used?|Football americano|American football|Rugby|Rugby|Soccer|Soccer|Futsal|Futsal|1
Qual è la distanza di una maratona?|What is the distance of a marathon?|42,195 km|42.195 km|40 km|40 km|50 km|50 km|21 km|21 km|1
In quale sport si disputa il Tour de France?|In which sport is the Tour de France held?|Ciclismo|Cycling|Triathlon|Triathlon|Corsa podistica|Running|Sci nordico|Nordic skiing|1
Qual è il torneo di tennis giocato sull'erba più famoso al mondo?|What is the most famous grass-court tennis tournament in the world?|Wimbledon|Wimbledon|Roland Garros|Roland Garros|US Open|US Open|Australian Open|Australian Open|1
Quanti giocatori compongono una squadra di pallavolo in campo?|How many players make up a volleyball team on the court?|6|6|5|5|7|7|9|9|1
Quanti giocatori ci sono in una squadra di basket in campo?|How many players are on a basketball team on the court?|5|5|6|6|4|4|7|7|1
In quale anno si sono svolte le prime Olimpiadi moderne?|In which year were the first modern Olympics held?|1896|1896|1900|1900|1892|1892|1904|1904|1
In quale città si sono svolte le prime Olimpiadi moderne?|In which city were the first modern Olympics held?|Atene|Athens|Parigi|Paris|Londra|London|Berlino|Berlin|1
Chi ha vinto più titoli del Grande Slam nel tennis maschile (record al 2024)?|Who has won the most men's Grand Slam titles in tennis history (as of 2024)?|Novak Djokovic (24)|Novak Djokovic (24)|Rafael Nadal (22)|Rafael Nadal (22)|Roger Federer (20)|Roger Federer (20)|Pete Sampras (14)|Pete Sampras (14)|1
In quale sport si usa un volante (shuttlecock)?|In which sport is a shuttlecock used?|Badminton|Badminton|Tennis|Tennis|Squash|Squash|Padel|Padel|1
In quale sport si gioca la Coppa Davis?|In which sport is the Davis Cup played?|Tennis|Tennis|Golf|Golf|Badminton|Badminton|Squash|Squash|1
Quante nazioni hanno vinto la Coppa del Mondo di calcio?|How many nations have won the Football World Cup?|8|8|6|6|10|10|5|5|1
Quale nazione ha vinto più volte la Coppa del Mondo di calcio?|Which nation has won the Football World Cup the most times?|Brasile (5 volte)|Brazil (5 times)|Germania (4 volte)|Germany (4 times)|Italia (4 volte)|Italy (4 times)|Argentina (3 volte)|Argentina (3 times)|1
Quale squadra di calcio ha vinto più Champions League?|Which football club has won the most Champions League titles?|Real Madrid|Real Madrid|AC Milan|AC Milan|Bayern Monaco|Bayern Munich|Barcellona|Barcelona|1
In quale sport si compete per la Stanley Cup?|In which sport is the Stanley Cup competed for?|Hockey su ghiaccio|Ice hockey|Baseball|Baseball|Basket|Basketball|Football americano|American football|1
In quale sport si compete per la Coppa America?|In which sport is the America's Cup competed?|Vela|Sailing|Nuoto|Swimming|Canottaggio|Rowing|Windsurf|Windsurfing|1
Quante discipline sono incluse nel decathlon?|How many disciplines are included in the decathlon?|10|10|7|7|12|12|8|8|1
Chi detiene il record mondiale dei 100 metri piani maschili?|Who holds the men's 100m world record?|Usain Bolt|Usain Bolt|Asafa Powell|Asafa Powell|Tyson Gay|Tyson Gay|Christian Coleman|Christian Coleman|1
In quale sport si compete per la Ryder Cup?|In which sport is the Ryder Cup played?|Golf|Golf|Tennis|Tennis|Polo|Polo|Cricket|Cricket|1
In quale sport gareggia Simone Biles?|In which sport does Simone Biles compete?|Ginnastica artistica|Artistic gymnastics|Nuoto|Swimming|Atletica leggera|Athletics|Pattinaggio artistico|Figure skating|1
In quale sport si assegna il Pallone d'Oro?|In which sport is the Ballon d'Or awarded?|Calcio|Football|Rugby|Rugby|Basket|Basketball|Tennis|Tennis|1
Quanti set occorrono per vincere un match maschile ai tornei del Grande Slam?|How many sets are needed to win a men's Grand Slam tennis match?|3 set su 5|3 sets out of 5|2 set su 3|2 sets out of 3|4 set su 7|4 sets out of 7|1 set|1 set|1
In quale anno si sono svolte le Olimpiadi di Barcellona?|In which year were the Barcelona Olympics held?|1992|1992|1988|1988|1996|1996|2000|2000|1
Qual è il record di Usain Bolt nei 100 metri piani?|What is Usain Bolt's 100m world record time?|9,58 secondi|9.58 seconds|9,69 secondi|9.69 seconds|9,72 secondi|9.72 seconds|9,84 secondi|9.84 seconds|1
Quanti titoli mondiali di Formula 1 ha vinto Michael Schumacher?|How many Formula 1 world championships did Michael Schumacher win?|7|7|5|5|6|6|4|4|1
Quale nazione ha vinto più volte la Coppa del Mondo di rugby (al 2024)?|Which nation has won the Rugby World Cup the most times (as of 2024)?|Sud Africa (4 volte)|South Africa (4 times)|Nuova Zelanda (3 volte)|New Zealand (3 times)|Australia (2 volte)|Australia (2 times)|Inghilterra (1 volta)|England (1 time)|1
In quale anno si è svolta la prima Coppa del Mondo di calcio?|In which year was the first Football World Cup held?|1930|1930|1934|1934|1926|1926|1938|1938|1
Quale paese ha ospitato la prima Coppa del Mondo di calcio?|Which country hosted the first Football World Cup?|Uruguay|Uruguay|Brasile|Brazil|Italia|Italy|Francia|France|1
In quale sport si usa il termine "hole in one"?|In which sport is the term "hole in one" used?|Golf|Golf|Tennis|Tennis|Bowling|Bowling|Freccette|Darts|1
Quale squadra di calcio ha vinto più campionati italiani di Serie A?|Which football club has won the most Italian Serie A championships?|Juventus|Juventus|Inter|Inter|Milan|Milan|Roma|Roma|1
Quali sono i 4 tornei del Grande Slam nel tennis?|What are the 4 Grand Slam tournaments in tennis?|Australian Open, Roland Garros, Wimbledon, US Open|Australian Open, Roland Garros, Wimbledon, US Open|Australian Open, Roland Garros, US Open, Coppa Davis|Australian Open, Roland Garros, US Open, Davis Cup|Wimbledon, US Open, Coppa Davis, ATP Finals|Wimbledon, US Open, Davis Cup, ATP Finals|Roland Garros, Wimbledon, US Open, Copa del Rey|Roland Garros, Wimbledon, US Open, Copa del Rey|1
Quale paese ha vinto la medaglia d'oro nella pallacanestro maschile alle Olimpiadi più volte?|Which country has won the men's Olympic basketball gold medal the most times?|Stati Uniti|United States|Yugoslavia|Yugoslavia|URSS|USSR|Spagna|Spain|1
Quanti set si disputano in una partita di tennis femminile al Grande Slam?|How many sets are played in a women's Grand Slam tennis match?|2 su 3|2 out of 3|3 su 5|3 out of 5|2 su 2|2 out of 2|1 su 1|1 out of 1|1
Quale atleta ha vinto più medaglie d'oro olimpiche nella storia?|Which athlete has won the most Olympic gold medals in history?|Michael Phelps (23 ori)|Michael Phelps (23 golds)|Usain Bolt|Usain Bolt|Larisa Latynina|Larisa Latynina|Paavo Nurmi|Paavo Nurmi|2
In quale anno Ayrton Senna ha perso la vita durante il Gran Premio di San Marino?|In which year did Ayrton Senna lose his life during the San Marino Grand Prix?|1994|1994|1992|1992|1996|1996|1990|1990|2
Quante volte Eddy Merckx ha vinto il Tour de France?|How many times did Eddy Merckx win the Tour de France?|5|5|4|4|6|6|3|3|2
In quale anno Michael Schumacher ha vinto il suo primo titolo mondiale di Formula 1?|In which year did Michael Schumacher win his first Formula 1 world championship?|1994|1994|1996|1996|1992|1992|2000|2000|2
Quanti titoli di Formula 1 ha vinto Lewis Hamilton?|How many Formula 1 World Championships did Lewis Hamilton win?|7|7|5|5|6|6|4|4|2
In quale anno è nata la Formula 1?|In which year was Formula 1 born?|1950|1950|1945|1945|1960|1960|1955|1955|2
Quale paese ha vinto più volte la Coppa Davis di tennis?|Which country has won the Davis Cup in tennis the most times?|Stati Uniti|United States|Australia|Australia|Spagna|Spain|Francia|France|2
Chi è stato il primo calciatore a vincere 5 Palloni d'Oro?|Who was the first football player to win 5 Ballon d'Or awards?|Lionel Messi (2012)|Lionel Messi (2012)|Cristiano Ronaldo|Cristiano Ronaldo|Michel Platini|Michel Platini|Ronaldo Nazário|Ronaldo Nazário|2
Quale tennista ha vinto il maggior numero di volte Roland Garros in singolare maschile?|Which tennis player has won Roland Garros men's singles the most times?|Rafael Nadal (14 volte)|Rafael Nadal (14 times)|Björn Borg (6 volte)|Björn Borg (6 times)|Novak Djokovic (3 volte)|Novak Djokovic (3 times)|Ivan Lendl (3 volte)|Ivan Lendl (3 times)|2
Chi è il marcatore più prolifico della storia della Champions League?|Who is the all-time top scorer in UEFA Champions League history?|Cristiano Ronaldo|Cristiano Ronaldo|Lionel Messi|Lionel Messi|Raúl|Raúl|Robert Lewandowski|Robert Lewandowski|2
Quale paese ha il maggior numero di medaglie complessive nella storia delle Olimpiadi invernali?|Which country has the most total medals in Winter Olympics history?|Norvegia|Norway|Stati Uniti|United States|Germania|Germany|Austria|Austria|2
Quale tennista ha vinto più volte il titolo di Wimbledon in singolare maschile?|Which tennis player has won the Wimbledon men's singles title the most times?|Roger Federer (8 volte)|Roger Federer (8 times)|Novak Djokovic (7 volte)|Novak Djokovic (7 times)|Pete Sampras (7 volte)|Pete Sampras (7 times)|Björn Borg (5 volte)|Björn Borg (5 times)|2
Chi è il calciatore con più gol nella storia della Nazionale italiana?|Who is the all-time top scorer for the Italian national football team?|Luigi Riva (35 gol)|Luigi Riva (35 goals)|Roberto Baggio|Roberto Baggio|Francesco Totti|Francesco Totti|Alessandro Del Piero|Alessandro Del Piero|2
Quanti Mondiali di Formula 1 ha vinto Sebastian Vettel?|How many Formula 1 World Championships did Sebastian Vettel win?|4|4|3|3|5|5|2|2|2
In quale anno Pelé ha vinto la sua prima Coppa del Mondo di calcio?|In which year did Pelé win his first Football World Cup?|1958|1958|1962|1962|1966|1966|1970|1970|2
Chi è il giocatore di basket con più titoli NBA?|Which basketball player has won the most NBA championships?|Bill Russell (11 anelli)|Bill Russell (11 rings)|Michael Jordan (6 anelli)|Michael Jordan (6 rings)|LeBron James (4 anelli)|LeBron James (4 rings)|Kareem Abdul-Jabbar (6 anelli)|Kareem Abdul-Jabbar (6 rings)|2
Quante volte Serena Williams ha vinto il Grande Slam in singolare?|How many Grand Slam singles titles did Serena Williams win?|23|23|21|21|25|25|19|19|2
Quale squadra NBA ha vinto più campionati?|Which NBA team has won the most championships?|Boston Celtics (18)|Boston Celtics (18)|Los Angeles Lakers (17)|Los Angeles Lakers (17)|Chicago Bulls (6)|Chicago Bulls (6)|Golden State Warriors (4)|Golden State Warriors (4)|2
Chi è il calciatore con più presenze nella storia della Nazionale italiana?|Who has the most caps for the Italian national football team?|Gianluigi Buffon|Gianluigi Buffon|Paolo Maldini|Paolo Maldini|Fabio Cannavaro|Fabio Cannavaro|Alessandro Del Piero|Alessandro Del Piero|2
Chi è il golfista con più vittorie nei Major?|Which golfer has won the most Major championships?|Jack Nicklaus (18)|Jack Nicklaus (18)|Tiger Woods (15)|Tiger Woods (15)|Walter Hagen (11)|Walter Hagen (11)|Gary Player (9)|Gary Player (9)|2
In quale sport gareggia Armand "Mondo" Duplantis?|In which sport does Armand "Mondo" Duplantis compete?|Salto con l'asta|Pole vault|Salto in alto|High jump|Salto triplo|Triple jump|Decathlon|Decathlon|2
In quale sport si compete per il Trofeo Jules Rimet?|In which sport was the Jules Rimet Trophy competed for?|Calcio (Coppa del Mondo FIFA)|Football (FIFA World Cup)|Rugby|Rugby|Ciclismo|Cycling|Pallacanestro|Basketball|2
Quale tennista ha vinto più volte l'Australian Open in singolare maschile?|Which tennis player has won the Australian Open men's singles the most times?|Novak Djokovic (10 volte)|Novak Djokovic (10 times)|Roger Federer (6 volte)|Roger Federer (6 times)|Roy Emerson (6 volte)|Roy Emerson (6 times)|Andre Agassi (4 volte)|Andre Agassi (4 times)|2
In quale anno l'Italia ha vinto la sua quarta Coppa del Mondo di calcio?|In which year did Italy win its fourth Football World Cup?|2006|2006|1994|1994|2002|2002|1998|1998|2
Chi è il nuotatore con più medaglie olimpiche totali?|Who is the swimmer with the most total Olympic medals?|Michael Phelps (28)|Michael Phelps (28)|Mark Spitz|Mark Spitz|Ryan Lochte|Ryan Lochte|Ian Thorpe|Ian Thorpe|2
In quale anno Nadia Comăneci ha ottenuto il primo "10" nella storia della ginnastica olimpica?|In which year did Nadia Comăneci receive the first perfect "10" in Olympic gymnastics history?|1976|1976|1972|1972|1980|1980|1968|1968|2
Chi è il pilota che ha vinto più gare nella storia della Formula 1?|Who is the driver with the most race wins in Formula 1 history?|Lewis Hamilton (103 vittorie)|Lewis Hamilton (103 wins)|Michael Schumacher (91 vittorie)|Michael Schumacher (91 wins)|Sebastian Vettel (53 vittorie)|Sebastian Vettel (53 wins)|Ayrton Senna (41 vittorie)|Ayrton Senna (41 wins)|2
Quale tennista maschile ha trascorso più settimane al n° 1 del ranking ATP in totale?|Which male tennis player has spent the most total weeks at ATP world number 1?|Novak Djokovic|Novak Djokovic|Roger Federer|Roger Federer|Pete Sampras|Pete Sampras|Rafael Nadal|Rafael Nadal|2
In quale sport si compete per la Vince Lombardi Trophy?|In which sport is the Vince Lombardi Trophy competed for?|Football americano (NFL Super Bowl)|American football (NFL Super Bowl)|Baseball|Baseball|Basket|Basketball|Hockey su ghiaccio|Ice hockey|2
Quale paese ha vinto più medaglie d'oro nella storia complessiva delle Olimpiadi?|Which country has won the most gold medals in overall Olympic history?|Stati Uniti|United States|Cina|China|Russia/URSS|Russia/USSR|Germania|Germany|2
Chi detiene il record mondiale nel salto con l'asta (al 2024)?|Who holds the pole vault world record (as of 2024)?|Armand "Mondo" Duplantis|Armand "Mondo" Duplantis|Renaud Lavillenie|Renaud Lavillenie|Sergey Bubka|Sergey Bubka|Sam Kendricks|Sam Kendricks|2
Quale calciatore ha vinto più Palloni d'Oro in totale?|Which football player has won the most Ballon d'Or awards in total?|Lionel Messi (8)|Lionel Messi (8)|Cristiano Ronaldo (5)|Cristiano Ronaldo (5)|Johan Cruyff (3)|Johan Cruyff (3)|Michel Platini (3)|Michel Platini (3)|2
Chi è il portiere di calcio con più presenze nella storia della Serie A italiana?|Who is the goalkeeper with the most appearances in Italian Serie A history?|Gianluigi Buffon|Gianluigi Buffon|Dino Zoff|Dino Zoff|Sebastiano Rossi|Sebastiano Rossi|Walter Zenga|Walter Zenga|2
Quale pugile si è ritirato imbattuto con 50 vittorie su 50 incontri professionistici?|Which boxer retired undefeated with 50 wins from 50 professional bouts?|Floyd Mayweather Jr.|Floyd Mayweather Jr.|Manny Pacquiao|Manny Pacquiao|Rocky Marciano|Rocky Marciano|Joe Louis|Joe Louis|2
Quale nuotatrice ha vinto più medaglie d'oro olimpiche nel nuoto femminile?|Which female swimmer has won the most Olympic gold medals in swimming?|Katie Ledecky (7 ori al 2024)|Katie Ledecky (7 golds as of 2024)|Janet Evans|Janet Evans|Krisztina Egerszegi|Krisztina Egerszegi|Debbie Meyer|Debbie Meyer|2
In quale anno si tenne la prima maratona di Boston?|In which year was the Boston Marathon first held?|1897|1897|1900|1900|1896|1896|1908|1908|3
Chi è l'unico tennista ad aver vinto il Grande Slam Calendare (tutti e 4 i Major nello stesso anno) due volte?|Who is the only tennis player to have won the Calendar Grand Slam twice?|Rod Laver (1962 e 1969)|Rod Laver (1962 and 1969)|Don Budge|Don Budge|Steffi Graf|Steffi Graf|Novak Djokovic|Novak Djokovic|3
Quale squadra di calcio detiene il record di punti in una singola stagione della Premier League?|Which football team holds the record for most points in a single Premier League season?|Manchester City (100 punti, 2017-18)|Manchester City (100 points, 2017-18)|Chelsea|Chelsea|Liverpool|Liverpool|Arsenal|Arsenal|3
Qual è il record di gol in una singola partita nella storia dei Mondiali di calcio?|What is the record for goals in a single match in Football World Cup history?|12 gol (Austria 7-5 Svizzera, 1954)|12 goals (Austria 7-5 Switzerland, 1954)|10 gol|10 goals|8 gol|8 goals|14 gol|14 goals|3
Quale ciclista italiano ha vinto più volte la Parigi-Roubaix?|Which Italian cyclist has won Paris-Roubaix the most times?|Francesco Moser (3 volte)|Francesco Moser (3 times)|Fausto Coppi|Fausto Coppi|Felice Gimondi|Felice Gimondi|Mario Cipollini|Mario Cipollini|3
Chi è il più giovane pilota ad aver vinto un titolo mondiale di Formula 1?|Who is the youngest driver to win a Formula 1 world championship?|Sebastian Vettel (23 anni, 2010)|Sebastian Vettel (23 years old, 2010)|Lewis Hamilton|Lewis Hamilton|Max Verstappen|Max Verstappen|Fernando Alonso|Fernando Alonso|3
Quale pugile è l'unico ad aver detenuto titoli mondiali in 8 categorie di peso?|Which boxer is the only one to have held world titles in 8 weight categories?|Manny Pacquiao|Manny Pacquiao|Floyd Mayweather|Floyd Mayweather|Oscar De La Hoya|Oscar De La Hoya|Roy Jones Jr.|Roy Jones Jr.|3
Qual è il record di vittorie in una singola stagione di Formula 1?|What is the record for wins in a single Formula 1 season?|19 vittorie (Max Verstappen, 2023)|19 wins (Max Verstappen, 2023)|15 vittorie|15 wins|13 vittorie|13 wins|17 vittorie|17 wins|3
Quale ginnasta ha vinto più medaglie d'oro ai Campionati Mondiali di ginnastica artistica?|Which gymnast has won the most gold medals at the Artistic Gymnastics World Championships?|Simone Biles (23 ori)|Simone Biles (23 golds)|Nadia Comăneci|Nadia Comăneci|Larisa Latynina|Larisa Latynina|Vera Čáslavská|Vera Čáslavská|3
In quale anno Bob Beamon ha stabilito il leggendario record del mondo nel salto in lungo?|In which year did Bob Beamon set his legendary long jump world record?|1968 (Olimpiadi di Città del Messico)|1968 (Mexico City Olympics)|1972|1972|1964|1964|1976|1976|3
Quale record ha stabilito Wilt Chamberlain nell'NBA nel 1962?|What record did Wilt Chamberlain set in the NBA in 1962?|100 punti in una singola partita|100 points in a single game|81 punti|81 points|73 punti|73 points|92 punti|92 points|3
Qual è il record mondiale nel lancio del giavellotto maschile?|What is the men's javelin throw world record?|98,48 m (Jan Železný, 1996)|98.48 m (Jan Železný, 1996)|95,00 m|95.00 m|100,30 m|100.30 m|92,60 m|92.60 m|3
Chi detiene il record mondiale nel salto in lungo maschile?|Who holds the men's long jump world record?|Mike Powell (8,95 m, 1991)|Mike Powell (8.95 m, 1991)|Bob Beamon|Bob Beamon|Carl Lewis|Carl Lewis|Jesse Owens|Jesse Owens|3
Quale schermidore italiano detiene il record di medaglie olimpiche?|Which Italian fencer holds the Olympic medals record?|Edoardo Mangiarotti (13 medaglie)|Edoardo Mangiarotti (13 medals)|Valentina Vezzali|Valentina Vezzali|Giulio Gaudini|Giulio Gaudini|Giovanna Trillini|Giovanna Trillini|3
Chi detiene il record di home run nella storia della Major League Baseball?|Who holds the all-time home run record in Major League Baseball?|Barry Bonds (762)|Barry Bonds (762)|Hank Aaron (755)|Hank Aaron (755)|Babe Ruth (714)|Babe Ruth (714)|Alex Rodriguez (696)|Alex Rodriguez (696)|3
Quante volte si è disputata la Coppa del Mondo di calcio prima della Seconda Guerra Mondiale?|How many times was the Football World Cup held before World War II?|3 (1930, 1934, 1938)|3 (1930, 1934, 1938)|2|2|4|4|5|5|3
Qual è il record mondiale nei 400 metri piani maschili?|What is the men's 400m world record?|43,03 secondi (Wayde van Niekerk, 2016)|43.03 seconds (Wayde van Niekerk, 2016)|43,29 secondi|43.29 seconds|43,86 secondi|43.86 seconds|44,00 secondi|44.00 seconds|3
Quale atleta ha partecipato al maggior numero di edizioni delle Olimpiadi?|Which athlete has participated in the most editions of the Olympic Games?|Ian Millar (Canada, 10 Olimpiadi, equitazione)|Ian Millar (Canada, 10 Olympics, equestrian)|Carl Lewis|Carl Lewis|Leander Paes|Leander Paes|Hiroshi Hoketsu|Hiroshi Hoketsu|3
In quale anno Magnus Carlsen è diventato campione del mondo di scacchi?|In which year did Magnus Carlsen become world chess champion?|2013|2013|2010|2010|2015|2015|2011|2011|3
Qual è il record di titoli mondiali vinti da un singolo pilota in tutte le categorie del motomondiale?|What is the record for world titles won by a single rider across all Grand Prix motorcycle categories?|15 (Giacomo Agostini)|15 (Giacomo Agostini)|9 (Valentino Rossi)|9 (Valentino Rossi)|8 (Mike Hailwood)|8 (Mike Hailwood)|7 (Marc Márquez)|7 (Marc Márquez)|3
Quale ciclista ha vinto il Giro d'Italia più volte (record condiviso)?|Which cyclists share the record for most Giro d'Italia wins?|Alfredo Binda, Fausto Coppi e Eddy Merckx (5 volte ciascuno)|Alfredo Binda, Fausto Coppi and Eddy Merckx (5 times each)|Bernard Hinault|Bernard Hinault|Miguel Induráin|Miguel Induráin|Felice Gimondi|Felice Gimondi|3
Chi è il tennista con il record di settimane consecutive al n° 1 del ranking ATP?|Which tennis player holds the record for most consecutive weeks at ATP number 1?|Roger Federer (237 settimane consecutive)|Roger Federer (237 consecutive weeks)|Novak Djokovic|Novak Djokovic|Pete Sampras|Pete Sampras|Ivan Lendl|Ivan Lendl|3
In quale olimpiade si tennero per la prima volta gare di atletica femminile?|At which Olympics were the first women's athletics events held?|1928 (Amsterdam)|1928 (Amsterdam)|1896 (Atene)|1896 (Athens)|1924 (Parigi)|1924 (Paris)|1932 (Los Angeles)|1932 (Los Angeles)|3
Qual è il massimo numero di gol segnati in una singola edizione dei Mondiali di calcio a 32 squadre?|What is the most goals scored in a single 32-team FIFA World Cup?|171 gol (Francia 1998 e Brasile 2014)|171 goals (France 1998 and Brazil 2014)|141 gol|141 goals|159 gol|159 goals|200 gol|200 goals|3
Quale nazione ha vinto più volte la Coppa del Mondo di pallavolo maschile FIVB?|Which nation has won the Men's FIVB Volleyball World Championship the most times?|Russia/URSS|Russia/USSR|Brasile|Brazil|Italia|Italy|Polonia|Poland|2
In quale sport si contende la Laver Cup?|In which sport is the Laver Cup contested?|Tennis|Tennis|Golf|Golf|Badminton|Badminton|Squash|Squash|1
Quale paese ha vinto più volte la Coppa del Mondo di rugby a 15 prima del 2019?|Which country won the Rugby World Cup the most times before 2019?|Nuova Zelanda (3 volte)|New Zealand (3 times)|Sud Africa (2 volte)|South Africa (2 times)|Australia (2 volte)|Australia (2 times)|Inghilterra (1 volta)|England (1 time)|2
Chi è il portiere più longevo ad aver giocato in una Coppa del Mondo di calcio?|Who is the oldest goalkeeper to have played at a Football World Cup?|Essam El-Hadary (Egitto, 45 anni, 2018)|Essam El-Hadary (Egypt, 45 years old, 2018)|Dino Zoff (Italia)|Dino Zoff (Italy)|Peter Shilton (Inghilterra)|Peter Shilton (England)|Gianluigi Buffon (Italia)|Gianluigi Buffon (Italy)|3
In quante edizioni delle Olimpiadi ha gareggiato Leandro Paes (tennis)?|In how many Olympic Games did Leander Paes (tennis) compete?|7 (1992-2016)|7 (1992-2016)|5|5|6|6|8|8|3
Qual è il record di reti segnate da un singolo giocatore in una partita di calcio di Serie A?|What is the record for goals scored by a single player in a Serie A football match?|6 gol (Silvio Piola, 1933)|6 goals (Silvio Piola, 1933)|5 gol|5 goals|7 gol|7 goals|4 gol|4 goals|3
Quale country ha vinto più edizioni della Ryder Cup (golf)?|Which country has won the most Ryder Cup editions (golf)?|Stati Uniti|United States|Europa|Europe|Gran Bretagna|Great Britain|Irlanda|Ireland|2
Qual è il record di titoli mondiali consecutivi di Formula 1?|What is the record for consecutive Formula 1 world titles?|4 (Sebastian Vettel, 2010-2013)|4 (Sebastian Vettel, 2010-2013)|3|3|5|5|7|7|3
